Period,Sd,Sa
2.85,3.648549659637713,0.01807678826147574
2.86,3.656098865852352,0.017987739697030106
2.87,3.6632553725043664,0.01789757253037759
2.88,3.670010125500435,0.017806272537924266
2.89,3.6763538891158927,0.017713825174687736
2.9,3.682277240764637,0.01762021556371624
2.91,3.6899123716613977,0.017535607011355307
2.92,3.6972935196618772,0.017450543433595426
2.93,3.7044165063087413,0.017365020458607335
2.94,3.7112770979152057,0.01727903363935415
2.95,3.7178710043968812,0.01719257845173925
2.96,3.724193878068993,0.01710565029269589
2.97,3.730241312407106,0.01701824447821352
2.98,3.7360088407703276,0.016930356241300154
2.99,3.7414919350854148,0.016841980729877488
3.0,3.7466860044901815,0.016753113004605823
3.0100000000000002,3.7608930428586,0.016705086189739614
3.02,3.7749849535538043,0.01665681907009047
3.0300000000000002,3.7889595988305262,0.01660831016454529
3.04,3.8028148211434054,0.01655955797588601
3.0500000000000003,3.8165484428929113,0.016510560990536
3.06,3.8301582661664266,0.01646131767830087
3.0700000000000003,3.8436420724745526,0.016411826492104046
3.08,3.8569976224824267,0.016362085867716907
3.09,3.870222655735981,0.016312094223483193
3.1,3.8833148903829344,0.016261849960037482
3.11,3.897334196746281,0.01621577088289673
3.12,3.911225701051481,0.016169419158267227
3.13,3.924987013423361,0.016122793009364443
3.14,3.9386157198586784,0.016075890639302384
3.15,3.952109381899,0.01602871023076217
3.16,3.9654655362972377,0.0159812499456536
3.17,3.978681694677632,0.0159335079247694
3.18,3.991755343188976,0.01588548228743172
3.19,4.004683942150964,0.015837171131131055
3.2,4.0174649256935036,0.015788572531157116
3.21,4.031686447870668,0.01574589725814798
3.22,4.0457958316265135,0.015703011493178463
3.23,4.059791111887283,0.015659914014615618
3.24,4.073670306241205,0.015616603588539363
3.25,4.087431414731552,0.015573078968562854
3.2600000000000002,4.10107241964604,0.015529338895649022
3.27,4.114591285302653,0.015485382097923932
3.2800000000000002,4.127985957831649,0.015441207290486186
3.29,4.1412543649538165,0.015396813175212846
3.3000000000000003,4.1543944157548225,0.015352198440561612
3.31,4.1692487316589215,0.015314137674594457
3.3200000000000003,4.184018174274128,0.01527594634351628
3.33,4.198701361455375,0.015237623839736305
3.34,4.2132969017738695,0.015199169550749457
3.35,4.227803394429963,0.015160582859078649
3.36,4.24221942916483,0.01512186314221628
3.37,4.256543586171007,0.015083009772564961
3.38,4.27077443600159,0.015044022117377043
3.39,4.28491053947831,0.015004899538693621
3.4,4.298950447598167,0.014965641393282025
3.41,4.313705002197535,0.014929058278441291
3.42,4.32837028025145,0.014892339341128751
3.43,4.342944855763516,0.014855483941726862
3.44,4.35742729280268,0.014818491435459302
3.45,4.37181614540948,0.014781361172330794
3.46,4.386109957500848,0.01474409249706542
3.47,4.400307262773733,0.014706684749044421
3.48,4.414406584607327,0.014669137262242858
3.49,4.428406435963932,0.01463144936516519
3.5,4.442305319288531,0.014593620380780206
3.5100000000000002,4.45754303790424,0.014560357603616335
3.52,4.472714012871133,0.014527019934227786
3.5300000000000002,4.487817272917315,0.014493607108624218
3.54,4.502851842182648,0.014460118861209929
3.5500000000000003,4.517816740187127,0.014426554924769928
3.56,4.5327109817988624,0.014392915030455604
3.5700000000000003,4.547533577201783,0.01435919890777037
3.58,4.562283531863059,0.014325406284555312
3.59,4.576959846500034,0.014291536886974128
3.6,4.59156151704708,0.014257590439498747
3.61,4.607181314267607,0.014226944248926201
3.62,4.622749456354482,0.014196259991880041
3.63,4.638265249032009,0.014165537571783005
3.64,4.653727996051781,0.014134776891633404
3.65,4.6691369991833005,0.014103977854002912
3.66,4.6844915582043125,0.01407314036103361
3.67,4.699790970891218,0.014042264314435575
3.68,4.715034533009339,0.014011349615484035
3.69,4.730221538303169,0.013980396165016836
3.7,4.745351278486543,0.013949403863431726
3.71,4.761096758207195,0.013920342396974282
3.72,4.7767899779336895,0.013891239419385092
3.73,4.792430236454203,0.013862094822543336
3.74,4.808016830347753,0.013832908497843212
3.75,4.823549053973313,0.013803680336191126
3.7600000000000002,4.839026199458728,0.013774410228002418
3.77,4.854447556689616,0.013745098063198324
3.7800000000000002,4.869812413298178,0.013715743731202833
3.79,4.885120054651876,0.013686347120939427
3.8000000000000003,4.900369763842144,0.013656908120828043
3.81,4.916065367809961,0.013628825373818692
3.8200000000000003,4.931706075976674,0.01360069773165222
3.83,4.947291170416441,0.01357252507581748
3.84,4.96281993076679,0.01354430728727272
3.85,4.978291634216249,0.013516044246441752
3.86,4.993705555492175,0.013487735833210923
3.87,5.009060966848336,0.013459381926925534
3.88,5.024357138052387,0.013430982406386278
3.89,5.039593336373402,0.013402537149845996
3.9,5.054768826569121,0.013374046035005912
3.91,4.895609672332142,0.012886767664667929
3.92,4.73391850543819,0.012397650028719108
3.93,4.569586832673142,0.011906457412964517
3.94,4.402495899728703,0.01141293242475657
3.95,4.232515384626653,0.010916793201327286
3.96,4.059501872863174,0.010417730146594311
3.97,3.8832970696766913,0.009915402099921342
3.98,3.7037256946019825,0.009409431818338863
3.99,3.5205929910146145,0.008899400627183265
4.0,3.3336817686188223,0.008384842063045789
