,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
91,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,1.2096098224014413,309.9771728515625,127.8642658831697,1.2755671746424981
92,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,1.1949102010492167,310.7271728515625,125.48287678139347,1.296376763279051
93,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,1.1891885241178508,316.3521728515625,127.32486864890593,1.2835204792143025
94,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,1.1766355535820023,322.7271728515625,127.99596493109271,1.2847496165095342
95,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,1.1726540546536706,329.1021728515625,129.0842077287173,1.277515292352301
96,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,1.16275812025668,316.3521728515625,121.98265233170746,1.3120198040413484
97,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,1.1529027476513798,321.2271728515625,125.53341503282181,1.2865696219847207
98,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,1.1309424048079426,326.8521728515625,127.27859648468043,1.285628030342325
99,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,1.1252772581281385,332.4771728515625,129.4529262384861,1.270202617873891
100,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,1.108354941697083,333.2271728515625,126.6397416625252,1.2953099503599337
